"","domain","phylum","class","order","family","genus","species"
"ASV_3497","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae","Hyphococcus",NA
"ASV_3498","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3499","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3501","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter",NA
"ASV_3502","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","MWH-UniP1 aquatic group",NA,NA
"ASV_3503","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Xenococcus PCC-7305",NA
"ASV_3504","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_3505",NA,NA,NA,NA,NA,NA,NA
"ASV_3507","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA
"ASV_3508","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix",NA
"ASV_3510","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36",NA,NA,NA
"ASV_3511","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV_3512","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3513","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola",NA
"ASV_3515","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_3516","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA
"ASV_3517","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales",NA,NA,NA
"ASV_3518","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3519","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA
"ASV_3520","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_3521","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV_3522","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_3523",NA,NA,NA,NA,NA,NA,NA
"ASV_3524","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3525","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3528","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"ASV_3530","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA
"ASV_3531","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5) clade",NA
"ASV_3532","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parasphingopyxis",NA
"ASV_3533",NA,NA,NA,NA,NA,NA,NA
"ASV_3534","Bacteria","Planctomycetota","vadinHA49",NA,NA,NA,NA
"ASV_3535","Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA,NA
"ASV_3536","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_3537","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus Amoebophilus",NA
"ASV_3538","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5) clade",NA
"ASV_3539","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3540",NA,NA,NA,NA,NA,NA,NA
"ASV_3541","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales",NA,NA,NA
"ASV_3543","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3544",NA,NA,NA,NA,NA,NA,NA
"ASV_3545","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_3547","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_3548","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA
"ASV_3549",NA,NA,NA,NA,NA,NA,NA
"ASV_3550","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisella",NA
"ASV_3551","Bacteria","Cyanobacteria","Cyanobacteriia","Limnotrichales","Limnotrichaceae","Limnothrix",NA
"ASV_3553","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA
"ASV_3555","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda",NA
"ASV_3556","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5) clade",NA
"ASV_3557","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agaribacter",NA
"ASV_3558","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASV_3559","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA
"ASV_3560",NA,NA,NA,NA,NA,NA,NA
"ASV_3561","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA
"ASV_3562","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_3563","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3564","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3565","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3566","Bacteria","Marinimicrobia (SAR406 clade)",NA,NA,NA,NA,NA
"ASV_3567","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus Amoebophilus",NA
"ASV_3568","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales",NA,NA,NA
"ASV_3569","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3570","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3571","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna",NA
"ASV_3572","Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA,NA
"ASV_3573","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_3574","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
"ASV_3575","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","Kordiimonas",NA
"ASV_3577","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116 clade",NA,NA
"ASV_3578","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3579","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA
"ASV_3581","Bacteria","Firmicutes","Bacilli","Thermicanales","Thermicanaceae","Thermicanus",NA
"ASV_3584","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I",NA,NA
"ASV_3585","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3587","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3588","Bacteria","Chloroflexi","KD4-96",NA,NA,NA,NA
"ASV_3589","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Halobacteriovorax",NA
"ASV_3591","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola",NA
"ASV_3592","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"ASV_3593","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_3594","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_3595",NA,NA,NA,NA,NA,NA,NA
"ASV_3596","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Methyloceanibacter",NA
"ASV_3597",NA,NA,NA,NA,NA,NA,NA
"ASV_3599","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA
"ASV_3600","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family_4","Endothiovibrio",NA
"ASV_3603","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV_3604","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_3606","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
"ASV_3608","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2",NA
"ASV_3609","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus",NA
"ASV_3610","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA
"ASV_3611","Bacteria","NB1-j",NA,NA,NA,NA,NA
"ASV_3612","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"ASV_3613","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"ASV_3614","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_3615","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA
"ASV_3616","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3618","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"ASV_3619","Bacteria","Bacteroidota","Bacteroidia","Cytophagales",NA,NA,NA
"ASV_3620","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3621","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","Nisaeaceae","OM75 clade",NA
"ASV_3623",NA,NA,NA,NA,NA,NA,NA
"ASV_3624",NA,NA,NA,NA,NA,NA,NA
"ASV_3625",NA,NA,NA,NA,NA,NA,NA
"ASV_3627","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_3629","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3630","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10",NA
"ASV_3631","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Phormidium MBIC10003",NA
"ASV_3632","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda",NA
"ASV_3633","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Xenococcus PCC-7305",NA
"ASV_3634","Bacteria","Marinimicrobia (SAR406 clade)",NA,NA,NA,NA,NA
"ASV_3635","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA
"ASV_3636","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Aeribacillus",NA
"ASV_3637","Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA
"ASV_3638","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3639",NA,NA,NA,NA,NA,NA,NA
"ASV_3642","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA
"ASV_3643","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_3645","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV_3646",NA,NA,NA,NA,NA,NA,NA
"ASV_3647","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA
"ASV_3648","Bacteria","Firmicutes","Clostridia","Lachnospirales",NA,NA,NA
"ASV_3649","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA
"ASV_3650","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3651","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Pelagicoccus",NA
"ASV_3654","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella",NA
"ASV_3655","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3656","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3657","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA
"ASV_3658",NA,NA,NA,NA,NA,NA,NA
"ASV_3659","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA
"ASV_3660",NA,NA,NA,NA,NA,NA,NA
"ASV_3661","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Roseitalea",NA
"ASV_3662","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3663","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus Amoebophilus",NA
"ASV_3664","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Gven-F17",NA,NA
"ASV_3665","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus Amoebophilus",NA
"ASV_3666",NA,NA,NA,NA,NA,NA,NA
"ASV_3667",NA,NA,NA,NA,NA,NA,NA
"ASV_3668","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter",NA
"ASV_3669","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"ASV_3670","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV_3671","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae",NA,NA
"ASV_3672","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA
"ASV_3673",NA,NA,NA,NA,NA,NA,NA
"ASV_3676","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3677","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7 clade",NA
"ASV_3678","Bacteria","Myxococcota","Polyangia",NA,NA,NA,NA
"ASV_3679","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Haloferula",NA
"ASV_3681","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3683","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","AqS1",NA
"ASV_3684",NA,NA,NA,NA,NA,NA,NA
"ASV_3685","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_3688","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3689","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"ASV_3690","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides",NA
"ASV_3691","Bacteria","Bacteroidota","Bacteroidia","Cytophagales",NA,NA,NA
"ASV_3693",NA,NA,NA,NA,NA,NA,NA
"ASV_3694","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA
"ASV_3695","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV_3696","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10",NA
"ASV_3697","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3698",NA,NA,NA,NA,NA,NA,NA
"ASV_3699","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae","Marinicaulis",NA
"ASV_3700",NA,NA,NA,NA,NA,NA,NA
"ASV_3701","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10",NA
"ASV_3702","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","Kordiimonas",NA
"ASV_3703",NA,NA,NA,NA,NA,NA,NA
"ASV_3704",NA,NA,NA,NA,NA,NA,NA
"ASV_3705","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3706","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3709","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade","Candidatus Puniceispirillum",NA
"ASV_3710",NA,NA,NA,NA,NA,NA,NA
"ASV_3711","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3712","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA
"ASV_3713","Bacteria","Bacteroidota","Bacteroidia","Cytophagales",NA,NA,NA
"ASV_3714","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3715",NA,NA,NA,NA,NA,NA,NA
"ASV_3716","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10",NA
"ASV_3717","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium",NA
"ASV_3718","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3719","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Costertonia",NA
"ASV_3721","Bacteria","Desulfobacterota","Desulfuromonadia","PB19",NA,NA,NA
"ASV_3722",NA,NA,NA,NA,NA,NA,NA
"ASV_3723",NA,NA,NA,NA,NA,NA,NA
"ASV_3725",NA,NA,NA,NA,NA,NA,NA
"ASV_3727","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Thaumasiovibrio",NA
"ASV_3728",NA,NA,NA,NA,NA,NA,NA
"ASV_3729","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA
"ASV_3731","Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","R76-B128",NA
"ASV_3732","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella",NA
"ASV_3734","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum",NA
"ASV_3735","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae",NA,NA
"ASV_3736","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Acrophormium PCC-7375",NA
"ASV_3737","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Xenococcus PCC-7305",NA
"ASV_3738","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Rubritalea",NA
"ASV_3739",NA,NA,NA,NA,NA,NA,NA
"ASV_3740","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA
"ASV_3741","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA
"ASV_3742",NA,NA,NA,NA,NA,NA,NA
"ASV_3743","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Acrophormium PCC-7375",NA
"ASV_3744",NA,NA,NA,NA,NA,NA,NA
"ASV_3746","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade III",NA,NA
"ASV_3747","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus",NA
"ASV_3748","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA,NA
"ASV_3750","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3751","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3752","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV_3753","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3754","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_3755","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_3756","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus",NA
"ASV_3757","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae",NA,NA
"ASV_3758","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Reichenbachiella",NA
"ASV_3760","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_3762","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3763",NA,NA,NA,NA,NA,NA,NA
"ASV_3764","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593",NA,NA
"ASV_3765","Bacteria","Marinimicrobia (SAR406 clade)",NA,NA,NA,NA,NA
"ASV_3767","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV_3768",NA,NA,NA,NA,NA,NA,NA
"ASV_3770","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","MB11C04 marine group",NA
"ASV_3771","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea",NA
"ASV_3772","Bacteria","Marinimicrobia (SAR406 clade)",NA,NA,NA,NA,NA
"ASV_3773","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3775",NA,NA,NA,NA,NA,NA,NA
"ASV_3776",NA,NA,NA,NA,NA,NA,NA
"ASV_3777","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea",NA
"ASV_3778","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_3779",NA,NA,NA,NA,NA,NA,NA
"ASV_3780","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA
"ASV_3781","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3782",NA,NA,NA,NA,NA,NA,NA
"ASV_3783",NA,NA,NA,NA,NA,NA,NA
"ASV_3784","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3786","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_3787","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium",NA
"ASV_3788","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","FS142-36B-02",NA
"ASV_3789","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas",NA
"ASV_3790","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3791","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"ASV_3792","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Phormidesmis ANT.LACV5.1",NA
"ASV_3793","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV_3795",NA,NA,NA,NA,NA,NA,NA
"ASV_3796",NA,NA,NA,NA,NA,NA,NA
"ASV_3797","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"ASV_3798","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Balneola",NA
"ASV_3799","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3800","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Parahaliea",NA
"ASV_3801","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV_3803","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Agarilytica",NA
"ASV_3804","Bacteria","Planctomycetota","Pla3 lineage",NA,NA,NA,NA
"ASV_3806","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA
"ASV_3807","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3808","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV_3809",NA,NA,NA,NA,NA,NA,NA
"ASV_3810","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Spongiivirga",NA
"ASV_3811",NA,NA,NA,NA,NA,NA,NA
"ASV_3812",NA,NA,NA,NA,NA,NA,NA
"ASV_3813","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42",NA
"ASV_3814","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3815","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3816","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3817",NA,NA,NA,NA,NA,NA,NA
"ASV_3819",NA,NA,NA,NA,NA,NA,NA
"ASV_3820",NA,NA,NA,NA,NA,NA,NA
"ASV_3821","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3822","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA
"ASV_3823","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_3825","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_3826","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae",NA,NA
"ASV_3827",NA,NA,NA,NA,NA,NA,NA
"ASV_3828","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales",NA,"Finegoldia",NA
"ASV_3829","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3830","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996 marine group",NA
"ASV_3831","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA
"ASV_3832",NA,NA,NA,NA,NA,NA,NA
"ASV_3834","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae",NA,NA
"ASV_3835","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA
"ASV_3836","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3837","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3839","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
