sample_ID,bag_num,sample_ID2,Fragment_number,Health,collection_date,Month,Year,Samp_trip,joining_info,order,species,time_Reef,reef,Genotype,Cluster,sampling_trip,X,colour_reef,colour_genotype,colour_reef_genotype,colour_timepoint,colour_timepoint_reef,cluster_latitude,cluster_longitude,cluster_depth
apal_cf_gCN2_cl11_fr5_AH_2019-06-25,bagnumber-1033,apal_cf_gCN2_cl11_fr5_AH_2019-06-25,5,AH,25-Jun-19,June,2019,Trip_3,CN2_Cluster_11_5_cf,19,apal,3_cf,cf,CN2,11,3,NA,blue4,blue4,blue4,maroon2,black,25.2208448,-80.2102244,19.6
apal_cf_gCN2_cl6_fr3_AH_2019-06-25,bagnumber-1034,apal_cf_gCN2_cl6_fr3_AH_2019-06-25,3,AH,25-Jun-19,June,2019,Trip_3,CN2_Cluster_6_3_cf,20,apal,3_cf,cf,CN2,6,3,NA,blue4,blue4,blue4,maroon2,black,25.2208498,-80.2102087,18.6
apal_cf_gCN2_cl6_fr4_AH_2019-06-25,bagnumber-1035,apal_cf_gCN2_cl6_fr4_AH_2019-06-25,4,AH,25-Jun-19,June,2019,Trip_3,CN2_Cluster_6_4_cf,21,apal,3_cf,cf,CN2,6,3,NA,blue4,blue4,blue4,maroon2,black,25.2208498,-80.2102087,18.6
apal_cf_gCN2_cl6_fr5_AH_2019-06-25,bagnumber-1036,apal_cf_gCN2_cl6_fr5_AH_2019-06-25,5,AH,25-Jun-19,June,2019,Trip_3,CN2_Cluster_6_5_cf,22,apal,3_cf,cf,CN2,6,3,NA,blue4,blue4,blue4,maroon2,black,25.2208498,-80.2102087,18.6
apal_cf_gCN2_cl3_fr3_AH_2019-06-25,bagnumber-1037,apal_cf_gCN2_cl3_fr3_AH_2019-06-25,3,AH,25-Jun-19,June,2019,Trip_3,CN2_Cluster_3_3_cf,23,apal,3_cf,cf,CN2,3,3,NA,blue4,blue4,blue4,maroon2,black,25.22087,-80.2102176,20.6
apal_cf_gCN2_cl3_fr4_AH_2019-06-25,bagnumber-1038,apal_cf_gCN2_cl3_fr4_AH_2019-06-25,4,AH,25-Jun-19,June,2019,Trip_3,CN2_Cluster_3_4_cf,24,apal,3_cf,cf,CN2,3,3,NA,blue4,blue4,blue4,maroon2,black,25.22087,-80.2102176,20.6
apal_cf_gCN2_cl3_fr5_AH_2019-06-25,bagnumber-1039,apal_cf_gCN2_cl3_fr5_AH_2019-06-25,5,AH,25-Jun-19,June,2019,Trip_3,CN2_Cluster_3_5_cf,25,apal,3_cf,cf,CN2,3,3,NA,blue4,blue4,blue4,maroon2,black,25.22087,-80.2102176,20.6
apal_ndr_gCN4_cl32_fr3_AH_2019-06-26,bagnumber-1082,apal_ndr_gCN4_cl32_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,CN4_Cluster_32_3_ndr,26,apal,3_ndr,ndr,CN4,32,3,NA,maroon2,maroon2,lightskyblue,maroon2,greenyellow,25.1303377,-80.2939212,11.7
apal_ndr_gCN4_cl32_fr4_AH_2019-06-26,bagnumber-1083,apal_ndr_gCN4_cl32_fr4_AH_2019-06-26,4,AH,26-Jun-19,June,2019,Trip_3,CN4_Cluster_32_4_ndr,27,apal,3_ndr,ndr,CN4,32,3,NA,maroon2,maroon2,lightskyblue,maroon2,greenyellow,25.1303377,-80.2939212,11.7
apal_ndr_gCN4_cl32_fr5_AH_2019-06-26,bagnumber-1084,apal_ndr_gCN4_cl32_fr5_AH_2019-06-26,5,AH,26-Jun-19,June,2019,Trip_3,CN4_Cluster_32_5_ndr,28,apal,3_ndr,ndr,CN4,32,3,NA,maroon2,maroon2,lightskyblue,maroon2,greenyellow,25.1303377,-80.2939212,11.7
apal_ndr_gCN4_cl38_fr3_AH_2019-06-26,bagnumber-1085,apal_ndr_gCN4_cl38_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,CN4_Cluster_38_3_ndr,29,apal,3_ndr,ndr,CN4,38,3,NA,maroon2,maroon2,lightskyblue,maroon2,greenyellow,25.1303348,-80.2939119,12.7
apal_ndr_gCN4_cl38_fr4_AH_2019-06-26,bagnumber-1086,apal_ndr_gCN4_cl38_fr4_AH_2019-06-26,4,AH,26-Jun-19,June,2019,Trip_3,CN4_Cluster_38_4_ndr,30,apal,3_ndr,ndr,CN4,38,3,NA,maroon2,maroon2,lightskyblue,maroon2,greenyellow,25.1303348,-80.2939119,12.7
apal_ndr_gCN4_cl38_fr6_AH_2019-06-26,bagnumber-1087,apal_ndr_gCN4_cl38_fr6_AH_2019-06-26,6,AH,26-Jun-19,June,2019,Trip_3,CN4_Cluster_38_6_ndr,31,apal,3_ndr,ndr,CN4,38,3,NA,maroon2,maroon2,lightskyblue,maroon2,greenyellow,25.1303348,-80.2939119,12.7
apal_ndr_gCN4_cl28_fr3_AH_2019-06-26,bagnumber-1088,apal_ndr_gCN4_cl28_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,CN4_Cluster_28_3_ndr,32,apal,3_ndr,ndr,CN4,28,3,NA,maroon2,maroon2,lightskyblue,maroon2,greenyellow,25.1303322,-80.2939338,12.7
apal_ndr_gCN4_cl28_fr4_AH_2019-06-26,bagnumber-1089,apal_ndr_gCN4_cl28_fr4_AH_2019-06-26,4,AH,26-Jun-19,June,2019,Trip_3,CN4_Cluster_28_4_ndr,33,apal,3_ndr,ndr,CN4,28,3,NA,maroon2,maroon2,lightskyblue,maroon2,greenyellow,25.1303322,-80.2939338,12.7
apal_ndr_gCN4_cl28_fr5_AH_2019-06-26,bagnumber-1090,apal_ndr_gCN4_cl28_fr5_AH_2019-06-26,5,AH,26-Jun-19,June,2019,Trip_3,CN4_Cluster_28_5_ndr,34,apal,3_ndr,ndr,CN4,28,3,NA,maroon2,maroon2,lightskyblue,maroon2,greenyellow,25.1303322,-80.2939338,12.7
apal_ndr_gML2_cl26_fr3_AH_2019-06-26,bagnumber-1091,apal_ndr_gML2_cl26_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,ML2_Cluster_26_3_ndr,35,apal,3_ndr,ndr,ML2,26,3,NA,maroon2,orangered,turquoise3,maroon2,greenyellow,25.1303151,-80.2939404,11.8
apal_ndr_gML2_cl26_fr4_AH_2019-06-26,bagnumber-1092,apal_ndr_gML2_cl26_fr4_AH_2019-06-26,4,AH,26-Jun-19,June,2019,Trip_3,ML2_Cluster_26_4_ndr,36,apal,3_ndr,ndr,ML2,26,3,NA,maroon2,orangered,turquoise3,maroon2,greenyellow,25.1303151,-80.2939404,11.8
apal_ndr_gML2_cl26_fr5_AH_2019-06-26,bagnumber-1093,apal_ndr_gML2_cl26_fr5_AH_2019-06-26,5,AH,26-Jun-19,June,2019,Trip_3,ML2_Cluster_26_5_ndr,37,apal,3_ndr,ndr,ML2,26,3,NA,maroon2,orangered,turquoise3,maroon2,greenyellow,25.1303151,-80.2939404,11.8
apal_ndr_gML2_cl23_frB_AH_2019-06-26,bagnumber-1094,apal_ndr_gML2_cl23_frB_AH_2019-06-26,B,AH,26-Jun-19,June,2019,Trip_3,ML2_Cluster_23_B_ndr,38,apal,3_ndr,ndr,ML2,23,3,NA,maroon2,orangered,turquoise3,maroon2,greenyellow,25.1303352,-80.2939432,12.8
apal_ndr_gML2_cl23_fr6_AH_2019-06-26,bagnumber-1095,apal_ndr_gML2_cl23_fr6_AH_2019-06-26,6,AH,26-Jun-19,June,2019,Trip_3,ML2_Cluster_23_6_ndr,39,apal,3_ndr,ndr,ML2,23,3,NA,maroon2,orangered,turquoise3,maroon2,greenyellow,25.1303352,-80.2939432,12.8
apal_ndr_gML2_cl23_fr7_AH_2019-06-26,bagnumber-1096,apal_ndr_gML2_cl23_fr7_AH_2019-06-26,7,AH,26-Jun-19,June,2019,Trip_3,ML2_Cluster_23_7_ndr,40,apal,3_ndr,ndr,ML2,23,3,NA,maroon2,orangered,turquoise3,maroon2,greenyellow,25.1303352,-80.2939432,12.8
apal_ndr_gML2_cl18_fr3_AH_2019-06-26,bagnumber-1097,apal_ndr_gML2_cl18_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,ML2_Cluster_18_3_ndr,41,apal,3_ndr,ndr,ML2,18,3,NA,maroon2,orangered,turquoise3,maroon2,greenyellow,25.1303496,-80.2939585,11.8
apal_ndr_gML2_cl18_fr4_AH_2019-06-26,bagnumber-1098,apal_ndr_gML2_cl18_fr4_AH_2019-06-26,4,AH,26-Jun-19,June,2019,Trip_3,ML2_Cluster_18_4_ndr,42,apal,3_ndr,ndr,ML2,18,3,NA,maroon2,orangered,turquoise3,maroon2,greenyellow,25.1303496,-80.2939585,11.8
apal_ndr_gML2_cl18_fr5_AH_2019-06-26,bagnumber-1099,apal_ndr_gML2_cl18_fr5_AH_2019-06-26,5,AH,26-Jun-19,June,2019,Trip_3,ML2_Cluster_18_5_ndr,43,apal,3_ndr,ndr,ML2,18,3,NA,maroon2,orangered,turquoise3,maroon2,greenyellow,25.1303496,-80.2939585,11.8
apal_ndr_gHS1_cl63_fr3_AH_2019-06-26,bagnumber-1187,apal_ndr_gHS1_cl63_fr3_AH_2019-06-26,3,AH,26-Jun-19,June,2019,Trip_3,HS1_Cluster_63_3_ndr,44,apal,3_ndr,ndr,HS1,63,3,NA,maroon2,greenyellow,olivedrab1,maroon2,greenyellow,25.1302969,-80.2938556,12.6
