"collection_date" "reef" "Speed.cm.s." "Bearing.degrees." "Velocity.N.cm.s." "Velocity.E.cm.s." "Temperature.C." "Year" "Si.uM." "NO2.uM." "N.N.uM." "NO3.uM." "PO4.uM." "sample_ID" "bag_num" "sample_ID2" "Fragment_number" "Health" "Month" "Samp_trip" "joining_info" "order" "species" "time_Reef" "Genotype" "Cluster" "sampling_trip" "X" "colour_reef" "colour_genotype" "colour_reef_genotype" "colour_timepoint" "colour_timepoint_reef" "cluster_latitude" "cluster_longitude" "cluster_depth"
"11" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gCN2_cl79_fr4_AH_2019-11-18" "bagnumber-1899" "apal_pr_gCN2_cl79_fr4_AH_2019-11-18" "4" "AH" "November" "Trip_5" "CN2_Cluster_79_4_pr" 194 "apal" "5_pr" "CN2" 79 5 NA "greenyellow" "blue4" "maroon2" "orangered" "mediumpurple" 24.9845458 -80.4165938 16.7
"12" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gHS1_cl112_fr3_AH_2019-11-18" "bagnumber-1991" "apal_pr_gHS1_cl112_fr3_AH_2019-11-18" "3" "AH" "November" "Trip_5" "HS1_Cluster_112_3_pr" 196 "apal" "5_pr" "HS1" 112 5 NA "greenyellow" "greenyellow" "black" "orangered" "mediumpurple" 24.9845578 -80.4166775 16.8
"13" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gHS1_cl112_fr4_AH_2019-11-18" "bagnumber-1992" "apal_pr_gHS1_cl112_fr4_AH_2019-11-18" "4" "AH" "November" "Trip_5" "HS1_Cluster_112_4_pr" 197 "apal" "5_pr" "HS1" 112 5 NA "greenyellow" "greenyellow" "black" "orangered" "mediumpurple" 24.9845578 -80.4166775 16.8
"14" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gHS1_cl112_fr6_AH_2019-11-18" "bagnumber-1993" "apal_pr_gHS1_cl112_fr6_AH_2019-11-18" "6" "AH" "November" "Trip_5" "HS1_Cluster_112_6_pr" 198 "apal" "5_pr" "HS1" 112 5 NA "greenyellow" "greenyellow" "black" "orangered" "mediumpurple" 24.9845578 -80.4166775 16.8
"15" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gHS1_cl108_fr4_AH_2019-11-18" "bagnumber-1994" "apal_pr_gHS1_cl108_fr4_AH_2019-11-18" "4" "AH" "November" "Trip_5" "HS1_Cluster_108_4_pr" 199 "apal" "5_pr" "HS1" 108 5 NA "greenyellow" "greenyellow" "black" "orangered" "mediumpurple" 24.9845645 -80.4166745 16.8
"16" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gHS1_cl108_fr5_AH_2019-11-18" "bagnumber-1995" "apal_pr_gHS1_cl108_fr5_AH_2019-11-18" "5" "AH" "November" "Trip_5" "HS1_Cluster_108_5_pr" 200 "apal" "5_pr" "HS1" 108 5 NA "greenyellow" "greenyellow" "black" "orangered" "mediumpurple" 24.9845645 -80.4166745 16.8
"17" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gHS1_cl108_fr6_AH_2019-11-18" "bagnumber-1996" "apal_pr_gHS1_cl108_fr6_AH_2019-11-18" "6" "AH" "November" "Trip_5" "HS1_Cluster_108_6_pr" 201 "apal" "5_pr" "HS1" 108 5 NA "greenyellow" "greenyellow" "black" "orangered" "mediumpurple" 24.9845645 -80.4166745 16.8
"18" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gHS1_cl108_fr3_AH_2019-11-18" "bagnumber-1997" "apal_pr_gHS1_cl108_fr3_AH_2019-11-18" "3" "AH" "November" "Trip_5" "HS1_Cluster_108_3_pr" 202 "apal" "5_pr" "HS1" 108 5 NA "greenyellow" "greenyellow" "black" "orangered" "mediumpurple" 24.9845645 -80.4166745 16.8
"19" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gHS1_cl106_fr3_AH_2019-11-18" "bagnumber-1998" "apal_pr_gHS1_cl106_fr3_AH_2019-11-18" "3" "AH" "November" "Trip_5" "HS1_Cluster_106_3_pr" 203 "apal" "5_pr" "HS1" 106 5 NA "greenyellow" "greenyellow" "black" "orangered" "mediumpurple" 24.9845488 -80.416677 18.7
"20" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gHS1_cl106_fr4_AH_2019-11-18" "bagnumber-1999" "apal_pr_gHS1_cl106_fr4_AH_2019-11-18" "4" "AH" "November" "Trip_5" "HS1_Cluster_106_4_pr" 204 "apal" "5_pr" "HS1" 106 5 NA "greenyellow" "greenyellow" "black" "orangered" "mediumpurple" 24.9845488 -80.416677 18.7
"21" "18-Nov-19" "pr" 9.43877192982456 144.221871345029 -1.5809649122807 2.62198830409357 43.5706002923977 2019 1.90416666666667 0.0158333333333333 0.306166666666667 0.290333333333333 0.0748333333333333 "apal_pr_gHS1_cl106_fr5_AH_2019-11-18" "bagnumber-2000" "apal_pr_gHS1_cl106_fr5_AH_2019-11-18" "5" "AH" "November" "Trip_5" "HS1_Cluster_106_5_pr" 205 "apal" "5_pr" "HS1" 106 5 NA "greenyellow" "greenyellow" "black" "orangered" "mediumpurple" 24.9845488 -80.416677 18.7
