,collection_date,Speed.cm.s.,Bearing.degrees.,Velocity.N.cm.s.,Velocity.E.cm.s.,Temperature.C.,reef,Genotype,Fragment_number,Month,Year,Fragment_num,day,Survey.,LiveFrag,L,W,H,Adjusted.Area,S01FragCount,Year.x,Si.uM.,NO2.uM.,N.N.uM.,NO3.uM.,PO4.uM.,sample_ID,sample_ID2,Health,Month.x,Samp_trip,joining_info,order,species,time_Reef,Cluster,sampling_trip,X,colour_reef,colour_genotype,colour_reef_genotype,colour_timepoint,colour_timepoint_reef,cluster_latitude,cluster_longitude,cluster_depth,depth,Year.y,Month.y,Lat_decimal,Long_decimal,avgchla_mgm.3,sdchla_mgm.3,avgSST_degC,sdSST_degC
bagnumber-533,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,CN4,A,February,2019,30,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gCN4_cl25_frA_AH_2019-02-28,apal_cf_gCN4_cl25_frA_AH_2019-02-28,AH,February,Trip_2,CN4_Cluster_25_A_cf,298,apal,2_cf,25,2,NA,blue4,maroon2,orangered,blue4,blue4,25.220825,-80.2102634,-20.8,20.8,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-2081,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,CN2,3,November,2019,6.666666667,19,9,1,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gCN2_cl3_fr3_AH_2019-11-19,apal_cf_gCN2_cl3_fr3_AH_2019-11-19,AH,November,Trip_5,CN2_Cluster_3_3_cf,237,apal,5_cf,3,5,NA,blue4,blue4,blue4,orangered,yellow3,25.22087,-80.2102176,-20.6,20.6,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-2082,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,CN2,4,November,2019,6.666666667,19,9,1,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gCN2_cl3_fr4_AH_2019-11-19,apal_cf_gCN2_cl3_fr4_AH_2019-11-19,AH,November,Trip_5,CN2_Cluster_3_4_cf,238,apal,5_cf,3,5,NA,blue4,blue4,blue4,orangered,yellow3,25.22087,-80.2102176,-20.6,20.6,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-2083,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,CN2,5,November,2019,6.666666667,19,9,0.666666667,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gCN2_cl3_fr5_AH_2019-11-19,apal_cf_gCN2_cl3_fr5_AH_2019-11-19,AH,November,Trip_5,CN2_Cluster_3_5_cf,239,apal,5_cf,3,5,NA,blue4,blue4,blue4,orangered,yellow3,25.22087,-80.2102176,-20.6,20.6,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-1037,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,CN2,3,June,2019,6.666666667,25,7,1,NA,NA,NA,124.7975,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gCN2_cl3_fr3_AH_2019-06-25,apal_cf_gCN2_cl3_fr3_AH_2019-06-25,AH,June,Trip_3,CN2_Cluster_3_3_cf,23,apal,3_cf,3,3,NA,blue4,blue4,blue4,maroon2,black,25.22087,-80.2102176,-20.6,20.6,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1038,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,CN2,4,June,2019,6.666666667,25,7,1,NA,NA,NA,169.0656333,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gCN2_cl3_fr4_AH_2019-06-25,apal_cf_gCN2_cl3_fr4_AH_2019-06-25,AH,June,Trip_3,CN2_Cluster_3_4_cf,24,apal,3_cf,3,3,NA,blue4,blue4,blue4,maroon2,black,25.22087,-80.2102176,-20.6,20.6,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1039,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,CN2,5,June,2019,6.666666667,25,7,1,NA,NA,NA,103.6699,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gCN2_cl3_fr5_AH_2019-06-25,apal_cf_gCN2_cl3_fr5_AH_2019-06-25,AH,June,Trip_3,CN2_Cluster_3_5_cf,25,apal,3_cf,3,3,NA,blue4,blue4,blue4,maroon2,black,25.22087,-80.2102176,-20.6,20.6,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1515,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,CN2,3,September,2019,6.666666667,25,8,1,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gCN2_cl3_fr3_AH_2019-09-25,apal_cf_gCN2_cl3_fr3_AH_2019-09-25,AH,September,Trip_4,CN2_Cluster_3_3_cf,108,apal,4_cf,3,4,NA,blue4,blue4,blue4,greenyellow,lightskyblue,25.22087,-80.2102176,-20.6,20.6,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-1516,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,CN2,4,September,2019,6.666666667,25,8,1,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gCN2_cl3_fr4_AH_2019-09-25,apal_cf_gCN2_cl3_fr4_AH_2019-09-25,AH,September,Trip_4,CN2_Cluster_3_4_cf,109,apal,4_cf,3,4,NA,blue4,blue4,blue4,greenyellow,lightskyblue,25.22087,-80.2102176,-20.6,20.6,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-1517,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,CN2,5,September,2019,6.666666667,25,8,0.666666667,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gCN2_cl3_fr5_AH_2019-09-25,apal_cf_gCN2_cl3_fr5_AH_2019-09-25,AH,September,Trip_4,CN2_Cluster_3_5_cf,110,apal,4_cf,3,4,NA,blue4,blue4,blue4,greenyellow,lightskyblue,25.22087,-80.2102176,-20.6,20.6,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
