,collection_date,Speed.cm.s.,Bearing.degrees.,Velocity.N.cm.s.,Velocity.E.cm.s.,Temperature.C.,reef,Genotype,Fragment_number,Month,Year,Fragment_num,day,Survey.,LiveFrag,L,W,H,Adjusted.Area,S01FragCount,Year.x,Si.uM.,NO2.uM.,N.N.uM.,NO3.uM.,PO4.uM.,sample_ID,sample_ID2,Health,Month.x,Samp_trip,joining_info,order,species,time_Reef,Cluster,sampling_trip,X,colour_reef,colour_genotype,colour_reef_genotype,colour_timepoint,colour_timepoint_reef,cluster_latitude,cluster_longitude,cluster_depth,depth,Year.y,Month.y,Lat_decimal,Long_decimal,avgchla_mgm.3,sdchla_mgm.3,avgSST_degC,sdSST_degC
bagnumber-531,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,HS1,B,February,2019,16.66666667,28,5,0.666666667,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gHS1_cl18_frB_AH_2019-02-28,apal_cf_gHS1_cl18_frB_AH_2019-02-28,AH,February,Trip_2,HS1_Cluster_18_B_cf,296,apal,2_cf,18,2,NA,blue4,greenyellow,mediumpurple,blue4,blue4,25.2208501,-80.2102565,-18.8,18.8,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-638,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,HS1,4,March,2019,108.6666667,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gHS1_cl106_fr4_AH_2019-03-01,apal_pr_gHS1_cl106_fr4_AH_2019-03-01,AH,March,Trip_2,HS1_Cluster_106_4_pr,325,apal,2_pr,106,2,NA,greenyellow,greenyellow,black,blue4,orangered,24.9845488,-80.416677,-18.7,18.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-639,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,HS1,5,March,2019,108.6666667,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gHS1_cl106_fr5_AH_2019-03-01,apal_pr_gHS1_cl106_fr5_AH_2019-03-01,AH,March,Trip_2,HS1_Cluster_106_5_pr,326,apal,2_pr,106,2,NA,greenyellow,greenyellow,black,blue4,orangered,24.9845488,-80.416677,-18.7,18.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-640,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,HS1,7,March,2019,108.6666667,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gHS1_cl106_fr7_AH_2019-03-01,apal_pr_gHS1_cl106_fr7_AH_2019-03-01,AH,March,Trip_2,HS1_Cluster_106_7_pr,327,apal,2_pr,106,2,NA,greenyellow,greenyellow,black,blue4,orangered,24.9845488,-80.416677,-18.7,18.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-734,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,ML2,3,March,2019,62.33333333,1,5,1,NA,NA,NA,35.86,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gML2_cl58_fr3_AH_2019-03-01,apal_pr_gML2_cl58_fr3_AH_2019-03-01,AH,March,Trip_2,ML2_Cluster_58_3_pr,342,apal,2_pr,58,2,NA,greenyellow,orangered,slategrey,blue4,orangered,24.9845308,-80.4165403,-18.7,18.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-736,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,ML2,6,March,2019,62.33333333,1,5,1,NA,NA,NA,54.6345,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gML2_cl58_fr6_AH_2019-03-01,apal_pr_gML2_cl58_fr6_AH_2019-03-01,AH,March,Trip_2,ML2_Cluster_58_6_pr,344,apal,2_pr,58,2,NA,greenyellow,orangered,slategrey,blue4,orangered,24.9845308,-80.4165403,-18.7,18.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-735,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,ML2,B,March,2019,62.33333333,1,5,1,NA,NA,NA,40.3162,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gML2_cl58_frB_AH_2019-03-01,apal_pr_gML2_cl58_frB_AH_2019-03-01,AH,March,Trip_2,ML2_Cluster_58_B_pr,343,apal,2_pr,58,2,NA,greenyellow,orangered,slategrey,blue4,orangered,24.9845308,-80.4165403,-18.7,18.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-1998,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,3,November,2019,108.6666667,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl106_fr3_AH_2019-11-18,apal_pr_gHS1_cl106_fr3_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_106_3_pr,203,apal,5_pr,106,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845488,-80.416677,-18.7,18.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1999,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,4,November,2019,108.6666667,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl106_fr4_AH_2019-11-18,apal_pr_gHS1_cl106_fr4_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_106_4_pr,204,apal,5_pr,106,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845488,-80.416677,-18.7,18.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2000,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,5,November,2019,108.6666667,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl106_fr5_AH_2019-11-18,apal_pr_gHS1_cl106_fr5_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_106_5_pr,205,apal,5_pr,106,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845488,-80.416677,-18.7,18.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1881,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,7,November,2019,108.6666667,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl106_fr7_AH_2019-11-18,apal_pr_gHS1_cl106_fr7_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_106_7_pr,183,apal,5_pr,106,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845488,-80.416677,-18.7,18.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2075,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,ML2,3,November,2019,62.33333333,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gML2_cl58_fr3_AH_2019-11-18,apal_pr_gML2_cl58_fr3_AH_2019-11-18,AH,November,Trip_5,ML2_Cluster_58_3_pr,231,apal,5_pr,58,5,NA,greenyellow,orangered,slategrey,orangered,mediumpurple,24.9845308,-80.4165403,-18.7,18.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2076,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,ML2,6,November,2019,62.33333333,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gML2_cl58_fr6_AH_2019-11-18,apal_pr_gML2_cl58_fr6_AH_2019-11-18,AH,November,Trip_5,ML2_Cluster_58_6_pr,232,apal,5_pr,58,5,NA,greenyellow,orangered,slategrey,orangered,mediumpurple,24.9845308,-80.4165403,-18.7,18.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2073,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,ML2,A,November,2019,62.33333333,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gML2_cl58_frA_AH_2019-11-18,apal_pr_gML2_cl58_frA_AH_2019-11-18,AH,November,Trip_5,ML2_Cluster_58_A_pr,229,apal,5_pr,58,5,NA,greenyellow,orangered,slategrey,orangered,mediumpurple,24.9845308,-80.4165403,-18.7,18.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2074,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,ML2,B,November,2019,62.33333333,18,9,0.666666667,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gML2_cl58_frB_AH_2019-11-18,apal_pr_gML2_cl58_frB_AH_2019-11-18,AH,November,Trip_5,ML2_Cluster_58_B_pr,230,apal,5_pr,58,5,NA,greenyellow,orangered,slategrey,orangered,mediumpurple,24.9845308,-80.4165403,-18.7,18.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1407,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,HS1,3,July,2019,108.6666667,2,7,1,NA,NA,NA,81.09633333,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gHS1_cl106_fr3_AH_2019-07-02,apal_pr_gHS1_cl106_fr3_AH_2019-07-02,AH,July,Trip_3,HS1_Cluster_106_3_pr,81,apal,3_pr,106,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845488,-80.416677,-18.7,18.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1408,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,HS1,4,July,2019,108.6666667,2,7,1,NA,NA,NA,75.5097,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gHS1_cl106_fr4_AH_2019-07-02,apal_pr_gHS1_cl106_fr4_AH_2019-07-02,AH,July,Trip_3,HS1_Cluster_106_4_pr,82,apal,3_pr,106,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845488,-80.416677,-18.7,18.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1409,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,HS1,5,July,2019,108.6666667,2,7,1,NA,NA,NA,53.6781,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gHS1_cl106_fr5_AH_2019-07-02,apal_pr_gHS1_cl106_fr5_AH_2019-07-02,AH,July,Trip_3,HS1_Cluster_106_5_pr,83,apal,3_pr,106,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845488,-80.416677,-18.7,18.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1406,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,HS1,6,July,2019,108.6666667,2,7,1,NA,NA,NA,93.87543333,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gHS1_cl106_fr6_AH_2019-07-02,apal_pr_gHS1_cl106_fr6_AH_2019-07-02,AH,July,Trip_3,HS1_Cluster_106_6_pr,80,apal,3_pr,106,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845488,-80.416677,-18.7,18.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1381,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,ML2,3,July,2019,62.33333333,2,7,1,NA,NA,NA,65.20991667,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gML2_cl58_fr3_AH_2019-07-02,apal_pr_gML2_cl58_fr3_AH_2019-07-02,AH,July,Trip_3,ML2_Cluster_58_3_pr,72,apal,3_pr,58,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845308,-80.4165403,-18.7,18.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1382,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,ML2,6,July,2019,62.33333333,2,7,1,NA,NA,NA,97.1249,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gML2_cl58_fr6_AH_2019-07-02,apal_pr_gML2_cl58_fr6_AH_2019-07-02,AH,July,Trip_3,ML2_Cluster_58_6_pr,73,apal,3_pr,58,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845308,-80.4165403,-18.7,18.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1340,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,ML2,B,July,2019,62.33333333,2,7,1,NA,NA,NA,66.00788333,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gML2_cl58_frB_AH_2019-07-02,apal_pr_gML2_cl58_frB_AH_2019-07-02,AH,July,Trip_3,ML2_Cluster_58_B_pr,71,apal,3_pr,58,3,NA,greenyellow,orangered,slategrey,maroon2,slategrey,24.9845308,-80.4165403,-18.7,18.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1743,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,HS1,3,September,2019,108.6666667,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gHS1_cl106_fr3_AH_2019-09-26,apal_pr_gHS1_cl106_fr3_AH_2019-09-26,AH,September,Trip_4,HS1_Cluster_106_3_pr,165,apal,4_pr,106,4,NA,greenyellow,greenyellow,black,greenyellow,ivory3,24.9845488,-80.416677,-18.7,18.7,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1744,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,HS1,4,September,2019,108.6666667,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gHS1_cl106_fr4_AH_2019-09-26,apal_pr_gHS1_cl106_fr4_AH_2019-09-26,AH,September,Trip_4,HS1_Cluster_106_4_pr,166,apal,4_pr,106,4,NA,greenyellow,greenyellow,black,greenyellow,ivory3,24.9845488,-80.416677,-18.7,18.7,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1728,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,ML2,6,September,2019,62.33333333,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gML2_cl58_fr6_AH_2019-09-26,apal_pr_gML2_cl58_fr6_AH_2019-09-26,AH,September,Trip_4,ML2_Cluster_58_6_pr,162,apal,4_pr,58,4,NA,greenyellow,orangered,slategrey,greenyellow,ivory3,24.9845308,-80.4165403,-18.7,18.7,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1726,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,ML2,B,September,2019,62.33333333,26,8,0.666666667,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gML2_cl58_frB_AH_2019-09-26,apal_pr_gML2_cl58_frB_AH_2019-09-26,AH,September,Trip_4,ML2_Cluster_58_B_pr,160,apal,4_pr,58,4,NA,greenyellow,orangered,slategrey,greenyellow,ivory3,24.9845308,-80.4165403,-18.7,18.7,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-2039,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,CN2,3,November,2019,6.666666667,19,9,1,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gCN2_cl6_fr3_AH_2019-11-19,apal_cf_gCN2_cl6_fr3_AH_2019-11-19,AH,November,Trip_5,CN2_Cluster_6_3_cf,219,apal,5_cf,6,5,NA,blue4,blue4,blue4,orangered,yellow3,25.2208498,-80.2102087,-18.6,18.6,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-2040,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,CN2,4,November,2019,6.666666667,19,9,1,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gCN2_cl6_fr4_AH_2019-11-19,apal_cf_gCN2_cl6_fr4_AH_2019-11-19,AH,November,Trip_5,CN2_Cluster_6_4_cf,220,apal,5_cf,6,5,NA,blue4,blue4,blue4,orangered,yellow3,25.2208498,-80.2102087,-18.6,18.6,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
bagnumber-1034,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,CN2,3,June,2019,6.666666667,25,7,1,NA,NA,NA,124.7975,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gCN2_cl6_fr3_AH_2019-06-25,apal_cf_gCN2_cl6_fr3_AH_2019-06-25,AH,June,Trip_3,CN2_Cluster_6_3_cf,20,apal,3_cf,6,3,NA,blue4,blue4,blue4,maroon2,black,25.2208498,-80.2102087,-18.6,18.6,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1035,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,CN2,4,June,2019,6.666666667,25,7,1,NA,NA,NA,169.0656333,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gCN2_cl6_fr4_AH_2019-06-25,apal_cf_gCN2_cl6_fr4_AH_2019-06-25,AH,June,Trip_3,CN2_Cluster_6_4_cf,21,apal,3_cf,6,3,NA,blue4,blue4,blue4,maroon2,black,25.2208498,-80.2102087,-18.6,18.6,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1036,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,CN2,5,June,2019,6.666666667,25,7,1,NA,NA,NA,103.6699,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gCN2_cl6_fr5_AH_2019-06-25,apal_cf_gCN2_cl6_fr5_AH_2019-06-25,AH,June,Trip_3,CN2_Cluster_6_5_cf,22,apal,3_cf,6,3,NA,blue4,blue4,blue4,maroon2,black,25.2208498,-80.2102087,-18.6,18.6,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1518,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,CN2,3,September,2019,6.666666667,25,8,1,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gCN2_cl6_fr3_AH_2019-09-25,apal_cf_gCN2_cl6_fr3_AH_2019-09-25,AH,September,Trip_4,CN2_Cluster_6_3_cf,111,apal,4_cf,6,4,NA,blue4,blue4,blue4,greenyellow,lightskyblue,25.2208498,-80.2102087,-18.6,18.6,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-1519,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,CN2,4,September,2019,6.666666667,25,8,1,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gCN2_cl6_fr4_AH_2019-09-25,apal_cf_gCN2_cl6_fr4_AH_2019-09-25,AH,September,Trip_4,CN2_Cluster_6_4_cf,112,apal,4_cf,6,4,NA,blue4,blue4,blue4,greenyellow,lightskyblue,25.2208498,-80.2102087,-18.6,18.6,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-1520,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,CN2,5,September,2019,6.666666667,25,8,0.666666667,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gCN2_cl6_fr5_AH_2019-09-25,apal_cf_gCN2_cl6_fr5_AH_2019-09-25,AH,September,Trip_4,CN2_Cluster_6_5_cf,113,apal,4_cf,6,4,NA,blue4,blue4,blue4,greenyellow,lightskyblue,25.2208498,-80.2102087,-18.6,18.6,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-1581,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,CN2,5,September,2019,6.666666667,25,8,0.666666667,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gCN2_cl6_fr5_D_2019-09-25,apal_cf_gCN2_cl6_fr5_D_2019-09-25,D,September,Trip_4,CN2_Cluster_6_5_cf,114,apal,4_cf,6,4,NA,blue4,blue4,blue4,greenyellow,lightskyblue,25.2208498,-80.2102087,-18.6,18.6,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-514,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,CN2,3,February,2019,6.666666667,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gCN2_cl6_fr3_AH_2019-02-28,apal_cf_gCN2_cl6_fr3_AH_2019-02-28,AH,February,Trip_2,CN2_Cluster_6_3_cf,283,apal,2_cf,6,2,NA,blue4,blue4,blue4,blue4,blue4,25.2208498,-80.2102087,-18.6,18.6,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-515,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,CN2,4,February,2019,6.666666667,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gCN2_cl6_fr4_AH_2019-02-28,apal_cf_gCN2_cl6_fr4_AH_2019-02-28,AH,February,Trip_2,CN2_Cluster_6_4_cf,284,apal,2_cf,6,2,NA,blue4,blue4,blue4,blue4,blue4,25.2208498,-80.2102087,-18.6,18.6,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-516,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,CN2,5,February,2019,6.666666667,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gCN2_cl6_fr5_AH_2019-02-28,apal_cf_gCN2_cl6_fr5_AH_2019-02-28,AH,February,Trip_2,CN2_Cluster_6_5_cf,285,apal,2_cf,6,2,NA,blue4,blue4,blue4,blue4,blue4,25.2208498,-80.2102087,-18.6,18.6,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-1013,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,CN4,3,June,2019,30,25,7,1,NA,NA,NA,43.70625,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gCN4_cl35_fr3_AH_2019-06-25,apal_cf_gCN4_cl35_fr3_AH_2019-06-25,AH,June,Trip_3,CN4_Cluster_35_3_cf,4,apal,3_cf,35,3,NA,blue4,maroon2,orangered,maroon2,black,25.2207798,-80.2102852,-17.9,17.9,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1014,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,CN4,4,June,2019,30,25,7,0.5,NA,NA,NA,83.34655,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gCN4_cl35_fr4_AH_2019-06-25,apal_cf_gCN4_cl35_fr4_AH_2019-06-25,AH,June,Trip_3,CN4_Cluster_35_4_cf,5,apal,3_cf,35,3,NA,blue4,maroon2,orangered,maroon2,black,25.2207798,-80.2102852,-17.9,17.9,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1015,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,CN4,5,June,2019,30,25,7,0.5,NA,NA,NA,36.3727,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gCN4_cl35_fr5_AH_2019-06-25,apal_cf_gCN4_cl35_fr5_AH_2019-06-25,AH,June,Trip_3,CN4_Cluster_35_5_cf,6,apal,3_cf,35,3,NA,blue4,maroon2,orangered,maroon2,black,25.2207798,-80.2102852,-17.9,17.9,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-534,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,CN4,3,February,2019,30,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gCN4_cl35_fr3_AH_2019-02-28,apal_cf_gCN4_cl35_fr3_AH_2019-02-28,AH,February,Trip_2,CN4_Cluster_35_3_cf,299,apal,2_cf,35,2,NA,blue4,maroon2,orangered,blue4,blue4,25.2207798,-80.2102852,-17.9,17.9,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-535,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,CN4,4,February,2019,30,28,5,0.5,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gCN4_cl35_fr4_AH_2019-02-28,apal_cf_gCN4_cl35_fr4_AH_2019-02-28,AH,February,Trip_2,CN4_Cluster_35_4_cf,300,apal,2_cf,35,2,NA,blue4,maroon2,orangered,blue4,blue4,25.2207798,-80.2102852,-17.9,17.9,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-536,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,CN4,5,February,2019,30,28,5,0.5,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gCN4_cl35_fr5_AH_2019-02-28,apal_cf_gCN4_cl35_fr5_AH_2019-02-28,AH,February,Trip_2,CN4_Cluster_35_5_cf,301,apal,2_cf,35,2,NA,blue4,maroon2,orangered,blue4,blue4,25.2207798,-80.2102852,-17.9,17.9,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-2029,19-Nov-19,6.026627907,186.8205,-0.553918605,-0.571651163,26.21434744,cf,HS1,3,November,2019,16.66666667,19,9,1,NA,NA,NA,NA,7,2019,0.426166667,0.017666667,0.272,0.254333333,0.055,apal_cf_gHS1_cl17_fr3_AH_2019-11-19,apal_cf_gHS1_cl17_fr3_AH_2019-11-19,AH,November,Trip_5,HS1_Cluster_17_3_cf,210,apal,5_cf,17,5,NA,blue4,greenyellow,mediumpurple,orangered,yellow3,25.220845,-80.2102483,-17.8,17.8,2019,November,25.221,-80.21,0.98994618,0.150965477,27.62378409,0.201932594
